,rel,masked_sent,subj_id,subj,pred,gt,is_correct,true_with_evidence,true_with_csk,unknown,false_with_csk,false_with_counterevidence,source,mturk_worker,mturk_true_with_evidence,mturk_true_with_csk,mturk_unknown,mturk_false_with_csk,mturk_false_with_counterevidence,mturk_comment,mturk_link,mturk_snippet,assignment_status,assignment_duration_in_seconds,changed_voting_after_rejection,from_false_to_true,from_true_to_false
10,P27,Gustav Hintz is [MASK] citizen .,Q95257501,Gustav Hintz,Germany,Germany,TRUE,True,False,False,False,False,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D1175651559,A3HALUPLZ4IKYJ,False,False,False,False,True,"I found a contradict to the statement,so I vote false.",https://www.dignitymemorial.com/obituaries/port-st-lucie-fl/gustav-hintz-10146829,"Gustav C. Hintz, born December 06, 1926, in Romeiken, East Prussia, died peacefully in Port St. Lucie, Florida, April 10, 2021, with his daughter Karen Klutsarits, by his side. He was predeceased by his wife, Helen Farley Hintz, his parents, Alexander and Bertha Hintz, his sister, Hedy Sutton and brother, Otto Hintz.  He emigrated to the United States of America, on the “S.S. Majestic” in April 1929 with his mother, sister  and brother, to join his father in New York, USA.",Approved,3rd_mturk_batch,false,false,false
11,P27,Vineet Mehta is [MASK] citizen .,Q61165782,Vineet Mehta,India,India,TRUE,False,True,False,False,False,https://orcid.org/0000-0003-0485-5076,A3JN18TC8GL3IH,False,True,False,False,False,Name and Working location is India,https://www.linkedin.com/in/dr-vineet-mehta-0a212024/?originalSubdomain=in,,Approved,3rd_mturk_batch,false,false,false
12,P176,Blue North is produced by [MASK] .,Q84253776,Blue North,IBM,Unkown,False,False,False,False,True,False,https://www.marinetraffic.com/de/ais/details/ships/shipid:4217684/mmsi:367741830/imo:9772163/vessel:BLUE_NORTH,A1NF6PELRKACS9,False,False,False,False,True,There is direct counter evidence that the ship is from Blue North Fisheries and not IBM,https://www.vesseltracking.net/ship/blue-north-9772163,The ship is operated by BLUE NORTH FISHERIES INC.,Approved,3rd_mturk_batch,true,false,true
13,P176,ABACUS Cluster PIII 500/1000 MHz is produced by [MASK] .,Q71605622,ABACUS Cluster PIII 500/1000 MHz,IBM,Selfmade,False,False,False,True,False,False,https://www.top500.org/system/166676/,A1NF6PELRKACS9,False,False,False,False,True,It says it is self made and not IBM,https://www.top500.org/site/47331/,ABACUS Cluster PIII 500/1000 MHz	2001	Self-made,Approved,2cnd_mturk_batch,false,false,false
14,P27,Dietlinde Elsässer is [MASK] citizen .,Q95746874,Dietlinde Elsässer,Germany,Germany,TRUE,True,False,False,False,False,https://www.dietlinde-ellsaesser.de/,A3JN18TC8GL3IH,True,False,False,False,False,,https://www.dietlinde-ellsaesser.de/kontakt/,below information,Approved,2cnd_mturk_batch,false,false,false
15,P176,SPP1000/XA-32 is produced by [MASK] .,Q72900725,SPP1000/XA-32,IBM,HP,False,False,False,False,False,True,https://www.top500.org/system/170678/,A3V5IIPZ95YVKH,False,False,False,False,True,Hewlett Packard is the developer of SPP1000/XA cluster series.,https://www.top500.org/system/170700/,Manufacturer:	HP,Approved,2cnd_mturk_batch,true,false,true
16,P27,Luca Lalli is [MASK] citizen .,Q87836549,Luca Lalli,Italy,Italy,TRUE,False,True,False,False,False,https://scholar.google.it/citations?user=IWrFkS8AAAAJ&hl=it,A1NF6PELRKACS9,False,True,False,False,False,It is highly likely that the person is a citizen of Italy.,https://www.linkedin.com/in/luca-lalli-0341a6187/?originalSubdomain=it,"Biostatistician presso IRCCS Istituto Nazionale dei Tumori Foundation, Milan, Italy",Approved,2cnd_mturk_batch,false,false,false
17,P27,Levy Werneck de Almeida Menezes is [MASK] citizen .,Q92536884,Levy Werneck de Almeida Menezes,Brazil,Brazil,TRUE,True,False,False,False,False,https://www.linkedin.com/in/levy-werneck-de-almeida-menezes-6620b2138/,A1NF6PELRKACS9,False,True,False,False,False,"Since the person was educated in Brasil, it is very likely for him to be from Brasil",https://www.escavador.com/sobre/224569338/levy-werneck-de-almeida-menezes,"Suporte Avançado de Vida Cardiovascular (ACLS). , Instituto Dante Pazzanese de Cardiologia, IDPC, Brasil.",Approved,2cnd_mturk_batch,false,false,false
18,P159,The headquarter of Rochester Telephone is in [MASK] .,Q7354030,Rochester Telephone,Rochester,Rochester,TRUE,True,False,False,False,False,https://en.wikipedia.org/wiki/Rochester_Telephone_Corporation,A1NF6PELRKACS9,True,False,False,False,False,Its HQ is in Rochester according to the site,https://en.wikipedia.org/wiki/Rochester_Telephone_Corporation,"Headquarters	Rochester, NY, United States",Approved,2cnd_mturk_batch,false,false,false
19,P176,HPC 420 450 MHz Cluster is produced by [MASK] .,Q74731163,HPC 420 450 MHz Cluster,IBM,Sun,False,False,False,False,False,True,https://top500.org/system/171933/,A3V5IIPZ95YVKH,False,False,False,False,True,HPC 420 450 MHz Cluster is manufactured by Sun Microsystems and not IBM.,https://top500.org/system/171933/,Manufacturer:	Sun,Approved,2cnd_mturk_batch,false,false,false
20,P103,The native language of Frances King-Hall is [MASK] .,Q75599842,Frances King-Hall,English,English,TRUE,False,True,False,False,False,https://en.wikipedia.org/wiki/Stephen_King-Hall,A3JN18TC8GL3IH,True,False,False,False,False,,https://www.npg.org.uk/collections/search/person/mp162018/frances-susan-king-hall,tablw below,Approved,2cnd_mturk_batch,false,false,false
21,P103,The native language of Lydia Cabot Jackson is [MASK] .,Q93982923,Lydia Cabot Jackson,English,English,TRUE,False,True,False,False,False,https://familypedia.fandom.com/wiki/Lydia_Cabot_(1787-1869),A1NF6PELRKACS9,False,True,False,False,False,"Since they were born in USA, it is likely that they speak English",https://familypedia.fandom.com/wiki/Lydia_Cabot_(1787-1869),"Lydia Cabot Jackson was born 1787 in Beverly, Essex County, Massachusetts, United States",Approved,2cnd_mturk_batch,false,false,false
22,P103,The native language of Wang Xun is [MASK] .,Q45513566,Wang Xun,Chinese,Chinese,TRUE,False,True,False,False,False,"Ming Dynasty,https://www.wikidata.org/wiki/Q45513566",A1EX0MEOPF8AHT,True,False,False,False,False,good,https://en.wikipedia.org/wiki/Wang_Xun_(actor),"Wang Xun is a Chinese actor, screenwriter and director",Approved,2cnd_mturk_batch,false,false,false
23,P27,Hanieh Mohammad Bagher is [MASK] citizen .,Q5648190,Hanieh Mohammad Bagher,Iran,Iran,TRUE,True,False,False,False,False,https://www.haniehart.com/about,A3JN18TC8GL3IH,True,False,False,False,False,,https://www.haniehart.com/,below details,Approved,2cnd_mturk_batch,false,false,false
24,P159,The headquarter of AS Tallinna Lennujaam is in [MASK] .,Q12358024,AS Tallinna Lennujaam,Tallinn,Tallinn,TRUE,True,False,False,False,False,https://www.tallinn-airport.ee/en/about-us/contact-us/,A3JN18TC8GL3IH,True,False,False,False,False,,https://www.tallinn-airport.ee/ettevottest/kontaktid/,below contact details,Approved,2cnd_mturk_batch,false,false,false
25,P178,Triple Play Baseball is developed by [MASK] .,Q28126592,Triple Play Baseball,Atari,"Treyarch, EA",False,False,False,False,False,True,https://en.wikipedia.org/wiki/Triple_Play_Baseball,A1NF6PELRKACS9,False,False,False,False,True,There is direct counter evidence that the game is from EA Sports and not Atari,https://en.wikipedia.org/wiki/Triple_Play_(video_game_series),"Triple Play is a series of video games based on Major League Baseball, published by EA Sports",Approved,2cnd_mturk_batch,true,false,true
26,P27,Wilhelm Paulus is [MASK] citizen .,Q94869962,Wilhelm Paulus,Germany,Germany,TRUE,False,True,False,False,False,https://www.deutsche-biographie.de/pnd138718768.html?language=en,A3JN18TC8GL3IH,True,False,False,False,False,,https://en.wikipedia.org/wiki/Friedrich_Paulus,wiki info table,Approved,2cnd_mturk_batch,false,false,false
27,P176,Pentium 4 Xeon Cluster 2.2/2.4/2.8 GHz is produced by [MASK] .,Q70875804,Pentium 4 Xeon Cluster 2.2/2.4/2.8 GHz,IBM,Selfmade,False,False,False,False,False,True,https://www.top500.org/system/168170/,A1NF6PELRKACS9,False,False,False,False,True,There is evidence that it is developed by Intel and not IBM,https://en.wikipedia.org/wiki/Pentium_4,"Pentium 4[1][2] is a series of single-core CPUs for desktops, laptops and entry-level servers manufactured by Intel",Approved,2cnd_mturk_batch,false,false,false
28,P27,Monika Wanicka is [MASK] citizen .,Q75367183,Monika Wanicka,Poland,Unkown,False,False,False,True,False,False,None,A1NF6PELRKACS9,False,False,True,False,False,There is no direct evidence or counter evidence about the location of birth or citizenship,https://www.facebook.com/monika.koczergo,There is no evidence,Approved,2cnd_mturk_batch,true,false,true
29,P159,"The headquarter of Yonki-no-Kai, Inc. is in [MASK] .",Q3572548,"Yonki-no-Kai, Inc.",Tokyo,Unkown,False,False,False,True,False,False,https://de.wikii2.com/wiki/Yonki-no-Kai_Productions,A1NF6PELRKACS9,False,True,False,False,False,It is plausible that the place is from Tokyo,https://www.nlb.gov.sg/biblio/13172482,Tokyo (Japan) -- Social conditions -- 20th century,Approved,2cnd_mturk_batch,false,false,false
30,P27,Kiran Devkota is [MASK] citizen .,Q88323452,Kiran Devkota,India,India,TRUE,True,False,False,False,False,https://www.researchgate.net/profile/Kiran-Devkota,A3JN18TC8GL3IH,True,False,False,False,False,,https://www.linkedin.com/in/kiran-devkota-032215197/?originalSubdomain=ca,linkedin page,Approved,2cnd_mturk_batch,false,false,false
31,P159,The headquarter of Atos (Slovakia) is in [MASK] .,Q77083297,Atos (Slovakia),Bratislava,Bratislava,TRUE,True,False,False,False,False,https://atos.net/sk/slovensko-digitalny-biznis,A2BAQ26SMQQEUG,True,False,False,False,False,good,http://sk.atos.net/,"Pribinova 19/4253, 811 09 Bratislava, Slovakia",Approved,2cnd_mturk_batch,false,false,false
32,P176,Atalanta is produced by [MASK] .,Q84710656,Atalanta,Nissan,Unkown,False,False,False,False,True,False,https://www.vesselfinder.com/vessels/ATALANTA-IMO-9726566-MMSI-255801360,A3JN18TC8GL3IH,False,False,False,False,True,,https://www.vesselfinder.com/vessels/details/9285005,see the below details,Approved,2cnd_mturk_batch,false,false,false
33,P159,The headquarter of Tripoli Rocketry Association is in [MASK] .,Q7843678,Tripoli Rocketry Association,Tripoli,Pittsburgh,FALSE,False,False,False,False,True,https://en.wikipedia.org/wiki/Tripoli_Rocketry_Association,A3V5IIPZ95YVKH,False,False,False,False,True,This organization is located in United States,https://en.wikipedia.org/wiki/Tripoli_Rocketry_Association,"Tripoli Rocketry Association was founded in 1964 in the Pittsburgh, Pennsylvania",Approved,2cnd_mturk_batch,true,false,true
34,P27,Birthe Korso is [MASK] citizen .,Q41730205,Birthe Korso,Norway,Denmark,FALSE,False,False,False,False,True,https://www.imdb.com/name/nm0466727/,A1NF6PELRKACS9,False,False,False,False,True,Denmark and Norway are different.,https://www.imdb.com/name/nm0466727/,"Birthe Korsø was born on August 31, 1924 in Copenhagen, Denmark",Approved,2cnd_mturk_batch,false,false,false
35,P178,Dirge of Cerberus Lost Episode: Final Fantasy VII is developed by [MASK] .,Q2812417,Dirge of Cerberus Lost Episode: Final Fantasy VII,Square,Square Enix,True,True,False,False,False,False,https://finalfantasy.fandom.com/wiki/Dirge_of_Cerberus_Lost_Episode_-Final_Fantasy_VII-,A7V4CVENA0DYV,True,False,False,False,False,The site confirms that  Dirge of Cerberus Lost Episode: Final Fantasy VII was developed by Square (Enix).,https://ultimatepopculture.fandom.com/wiki/Dirge_of_Cerberus_Lost_Episode:_Final_Fantasy_VII,"Dirge of Cerberus Lost Episode: Final Fantasy VII (ダージュ オブ ケルベロス ロスト エピソード -ファイナルファンタジーVII-, Dāju obu Keruberosu Rosuto Episōdo -Fainaru Fantajī Sebun-) is a Japanese third person shooter role-playing game was developed and published by Square Enix.",Approved,2cnd_mturk_batch,false,false,false
36,P159,The headquarter of Cambridge Reactor Design (United Kingdom) is in [MASK] .,Q56584474,Cambridge Reactor Design (United Kingdom),Cambridge,Cambridge,TRUE,True,False,False,False,False,https://www.cambridgereactordesign.com/,A2BAQ26SMQQEUG,True,False,False,False,False,good,http://www.cambridgereactordesign.com/,"D2, Brookfield Business Centre, Twenty Pence Rd, Cottenham, Cambridge CB24 8PS, United Kingdom",Approved,2cnd_mturk_batch,false,false,false
37,P178,Yu-Gi-Oh! GX Tag Force 2 is developed by [MASK] .,Q3273765,Yu-Gi-Oh! GX Tag Force 2,Konami,Konami,True,True,False,False,False,False,https://yugioh.fandom.com/wiki/Yu-Gi-Oh!_GX_Tag_Force_2,A1EX0MEOPF8AHT,True,False,False,False,False,good,https://en.wikipedia.org/wiki/Yu-Gi-Oh!_GX_Tag_Force_2,"Yu-Gi-Oh! GX Tag Force 2, known in Japan as 'Yu-Gi-Oh! Duel Monsters GX Tag Force 2, is a video game based on the Yu-Gi-Oh! series, developed by Konami and released on PlayStation Portable format in September 2007. This is the second work in the Yu-Gi-Oh Tag Force series.",Approved,2cnd_mturk_batch,false,false,false
38,P27,Naoshi Kondo is [MASK] citizen .,Q42816240,Naoshi Kondo,Japan,Japan,TRUE,False,True,False,False,False,http://www.cs.kyoto-u.ac.jp/en/profile/kondo-naoshi/,A1NF6PELRKACS9,True,False,False,False,False,There is direct evidence that the person was born in Japan,https://ieeexplore.ieee.org/author/37348031300,"Naoshi Kondo was born in Ehime, Japan, in 1960",Approved,2cnd_mturk_batch,false,false,false
39,P159,The headquarter of Yamamoto Scientific Tool Laboratory is in [MASK] .,Q11469271,Yamamoto Scientific Tool Laboratory,Tokyo,Tokyo,TRUE,True,False,False,False,False,https://www.yamato-scientific.com/company/location/,A3JN18TC8GL3IH,True,False,False,False,False,,https://www.yamato-scientific.com/company/location/,see the contact page,Approved,2cnd_mturk_batch,false,false,false
40,P176,Cluster Platform 6000 rx2600 Itanium2 900 MHz Cluster is produced by [MASK] .,Q72864442,Cluster Platform 6000 rx2600 Itanium2 900 MHz Cluster,IBM,HPE,False,False,False,False,False,True,https://www.top500.org/system/168762/,A3JN18TC8GL3IH,False,False,False,False,True,,https://www.top500.org/system/168762/,below system configuration,Approved,2cnd_mturk_batch,false,false,false
41,P159,The headquarter of Statoil Fuel & Retail Eesti is in [MASK] .,Q20529279,Statoil Fuel & Retail Eesti,Tallinn,Tallinn,TRUE,True,False,False,False,False,https://de.foursquare.com/v/statoil-fuel--retail-eesti-as/5294610911d270071a1065a3,A3HALUPLZ4IKYJ,True,False,False,False,False,It is true because found true evidence according to statement.,https://m.facebook.com/profile.php?id=160871300781642,"tatoil Fuel & Retail Eesti As, Tallinn, Harju County, Estonia. 8 likes. Local business. ... Circle K Eesti. Retail Company. 47,302 people like this",Approved,2cnd_mturk_batch,false,false,false
42,P176,SuperDome 750 MHz/HyperFabric is produced by [MASK] .,Q73487449,SuperDome 750 MHz/HyperFabric,IBM,HP,False,False,False,False,False,True,https://www.top500.org/system/169180/,A3V5IIPZ95YVKH,False,False,False,False,True,SuperDome 750 is manufactured by HP and not IBM.,https://www.top500.org/system/169180/,Manufacturer:	HP,Approved,2cnd_mturk_batch,false,false,false
43,P159,The headquarter of Research Institute VOLGA (Russia) is in [MASK] .,Q52845863,Research Institute VOLGA (Russia),Moscow,Unkown,False,False,False,True,False,False,-,A1HK7CR71C8BCA,False,False,False,False,True,"The information is incorrect, the research institute is located in city Saratov.",https://www.wikidata.org/wiki/Q52845863,"Research Institute VOLGA (Russia) company in Saratov, Russia",Approved,2cnd_mturk_batch,true,false,true
44,P176,SuperDome 1 GHz/HPlex is produced by [MASK] .,Q72063810,SuperDome 1 GHz/HPlex,IBM,HP,False,False,False,False,False,True,https://www.top500.org/system/173896/,A1NF6PELRKACS9,False,False,False,False,True,The product is from HP and not IBM,https://www.hpe.com/in/en/servers/superdome.html?jumpid=ps_f3te6ad5n1_aid-520061464&ef_id=EAIaIQobChMIgN3Jr_Df-gIVRZJmAh0FvAfTEAAYASAAEgIS5fD_BwE:G:s&s_kwcid=AL!13472!3!541194910487!p!!g!!superdome!14386686684!128849248040&,see the web address,Approved,2cnd_mturk_batch,false,false,false
45,P178,Pro Cycling Manager 2015 is developed by [MASK] .,Q86829196,Pro Cycling Manager 2015,Cyanide,Cyanide,True,True,False,False,False,False,https://store.steampowered.com/app/322850/Pro_Cycling_Manager_2015/,A3JN18TC8GL3IH,True,False,False,False,False,,https://www.google.com/search?q=Pro+Cycling+Manager+2015&client=firefox-b-e&sxsrf=ALiCzsZo8GDZim2ez78aHMHwASJPURK7FA%3A1664383118297&ei=jng0Y93jEcaZkgXN0aGwCA&ved=0ahUKEwjd4qSk9rf6AhXGjKQKHc1oCIYQ4dUDCA0&uact=5&oq=Pro+Cycling+Manager+2015&gs_lcp=Cgdnd3Mtd2l6EAMyBAgjECcyBAgjECcyBQgAEMsBMgUIABDLATIFCC4QgAQyBQgAEIAEMgUIABCABDIGCAAQHhAWMgYIABAeEBYyBggAEB4QFjoKCAAQRxDWBBCwA0oECEEYAEoECEYYAFDWAljWAmDhB2gBcAF4AIABVIgBVJIBATGYAQCgAQKgAQHIAQjAAQE&sclient=gws-wiz,google knowledge panel,Approved,2cnd_mturk_batch,true,true,false
46,P103,The native language of Domenico Di Candia is [MASK] .,Q84995187,Domenico Di Candia,Italian,Italian,TRUE,False,True,False,False,False,https://www.unimi.it/en/ugov/person/domenico-dicandia?__cf_chl_tk=io4WDMJWTke0uyAPjjoJ.CcYDXY.2onKMXZ.AG0XkPc-1664363185-0-gaNycGzNCD0,A1NF6PELRKACS9,True,False,False,False,False,"Milano is Italian, so there is evidence that it is italian",https://www.unimi.it/en/ugov/person/domenico-dicandia,"Via Mangiagalli, 37 20133 MILANO (MI)",Approved,2cnd_mturk_batch,false,false,false
47,P178,Street Fighter X Mega Man is developed by [MASK] .,Q1583584,Street Fighter X Mega Man,Capcom,"Capcom,Seow Zong Hui",True,True,False,False,False,False,https://en.wikipedia.org/wiki/Street_Fighter_X_Mega_Man,A3JN18TC8GL3IH,True,False,False,False,False,,https://www.google.com/search?q=Street+Fighter+X+Mega+Man&client=firefox-b-e&sxsrf=ALiCzsYm7PfrpkvNiTyT0Kv0abYwyDcTYQ%3A1664381138759&ei=0nA0Y_T8LcW3kwWX25DQCg&ved=0ahUKEwj0ra_07rf6AhXF26QKHZctBKoQ4dUDCA0&uact=5&oq=Street+Fighter+X+Mega+Man&gs_lcp=Cgdnd3Mtd2l6EAMyBAgjECcyBQguEMsBMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgARKBAhBGAFKBAhGGABQ3QJY3QJgsAdoAXAAeACAAVKIAVKSAQExmAEAoAECoAEBwAEB&sclient=gws-wiz,google knowledge panel,Approved,2cnd_mturk_batch,true,true,false
48,P176,HPC 4500 400 MHz Cluster is produced by [MASK] .,Q74742524,HPC 4500 400 MHz Cluster,IBM,Sun,False,False,False,False,False,True,https://www.top500.org/system/171941/,A3V5IIPZ95YVKH,False,False,False,False,True,Sun Microsystems manufactured this server.,https://www.top500.org/system/171944/,Manufacturer:	Sun,Approved,2cnd_mturk_batch,false,false,false
49,P176,USNS Mission Santa Barbara is produced by [MASK] .,Q7866643,USNS Mission Santa Barbara,Marinship,Marinship,True,True,False,False,False,False,http://www.aukevisser.nl/t2tanker/id817.htm,A1EX0MEOPF8AHT,True,False,False,False,False,good,https://en.wikipedia.org/wiki/USNS_Mission_Santa_Barbara,SS Mission Santa Barbara was a Type T2-SE-A2 tanker built for the United States Maritime Commission during World War II. After the war she was acquired by the United States Navy as USS Mission Santa Barbara. Later the tanker transferred to the Military Sea Transportation Service as USNS Mission Santa Barbara.,Approved,2cnd_mturk_batch,false,false,false
50,P176,HPC 10000 333 MHz Cluster is produced by [MASK] .,Q74460383,HPC 10000 333 MHz Cluster,IBM,Sun,False,False,False,False,False,True,https://top500.org/system/171589/,A1NF6PELRKACS9,False,False,False,False,True,It is manufactured by Sun and not IBM,https://top500.org/system/171481/,Manufacturer:	Sun,Approved,2cnd_mturk_batch,false,false,false
51,P159,The headquarter of Fästningsguiden i Norr AB is in [MASK] .,Q61762643,Fästningsguiden i Norr AB,Stockholm,Boden,FALSE,False,False,False,False,True,https://www.eniro.se/f%C3%A4stnings+guiden+i+norr+ab+boden/3526401/firma,A7V4CVENA0DYV,False,False,False,False,True,"The address on the page provided shows that the Fästningsguiden i Norr AB is located in Boden, Norbotten County, Sweden.",https://directmap.se/en/boden/881,"Fästningsguiden i Norr AB/Rödbergsfortet, Boden, Boden, Norrbotten County, Sweden",Approved,2cnd_mturk_batch,true,false,true
52,P176,VPP300/4 is produced by [MASK] .,Q70278128,VPP300/4,Fujitsu,"Fujitsu,SNI",True,True,False,False,False,False,https://www.top500.org/system/172384/,A3JN18TC8GL3IH,True,False,False,False,False,,https://www.top500.org/system/172383/,below system configuration,Approved,2cnd_mturk_batch,false,false,false
53,P176,SPP1000/XA-48 is produced by [MASK] .,Q72904265,SPP1000/XA-48,IBM,HP,False,False,False,False,False,True,https://www.top500.org/system/170684/,A1NF6PELRKACS9,False,False,False,False,True,The manufacturer is IBM and not HP,https://www.top500.org/system/170684/,Manufacturer:	HP,Approved,2cnd_mturk_batch,false,false,false
54,P159,The headquarter of Jiangsu Dongfang Shenghong is in [MASK] .,Q10947025,Jiangsu Dongfang Shenghong,Nanjing,Suzhou,FALSE,False,False,False,False,True,http://www.jsessh.com/en/about/#about-gaikuang,A1NF6PELRKACS9,False,False,False,True,False,There is evidence that the place is from Jiangsu which is not Nanjing,https://www.crunchbase.com/organization/jiangsu-eastern-shenghong,"Jiangsu Eastern Shenghong manufactures and distributes textile products. Suzhou, Jiangsu, China",Approved,2cnd_mturk_batch,false,false,false
